domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
mini.browser.360.cn,0,0.00%,154,154,0.00%
mail.cstnet.cn,0,0.00%,510,510,0.00%
dns.weixin.qq.com.cn,0,0.00%,423,423,0.00%
www.msftconnecttest.com,0,0.00%,151,151,0.00%
www.google.com,0,0.00%,214,214,0.00%
t.khd.2345.cc,0,0.00%,200,200,0.00%
apple.com,0,0.00%,106,106,0.00%
mon.zijieapi.com,0,0.00%,217,217,0.00%
cloud.browser.360.cn,0,0.00%,140,140,0.00%
www.csdn.net,0,0.00%,499,499,0.00%
api.safe.360.cn,0,0.00%,168,168,0.00%
hm.baidu.com,0,0.00%,103,103,0.00%
www.microsoft.com,0,0.00%,106,106,0.00%
ssl.ptlogin2.graph.qq.com,0,0.00%,162,162,0.00%
connectivitycheck.platform.hicloud.com,0,0.00%,762,762,0.00%
vm.gtimg.cn,0,0.00%,164,164,0.00%
xui.ptlogin2.qq.com,0,0.00%,160,160,0.00%
graph.qq.com,0,0.00%,156,156,0.00%
rq.cct.cloud.duba.net,0,0.00%,140,140,0.00%
node.video.qq.com,0,0.00%,132,132,0.00%
access.video.qq.com,0,0.00%,152,152,0.00%
win10.ipv6.microsoft.com,0,0.00%,421,421,0.00%
api.snapcraft.io,0,0.00%,222,222,0.00%
dldir1.qq.com,0,0.00%,174,174,0.00%
database.clamav.net,0,0.00%,263,263,0.00%
mtalk.google.com,0,0.00%,102,102,0.00%
sp.sangfor.com.cn,0,0.00%,467,467,0.00%
boot-01.net.anydesk.com,0,0.00%,136,136,0.00%
www.scumall.com,0,0.00%,128,128,0.00%
www.oray.com,0,0.00%,211,211,0.00%
tkysenwhezsrteagubzihkhhxcbhhsyc.yundunwaf1.com,0,0.00%,191,191,0.00%
auth.sangfor.com.cn,0,0.00%,794,794,0.00%
a.root-servers.net,0,0.00%,947,947,0.00%
dns1.registrar-servers.com,0,0.00%,1932,1932,0.00%
p.f.360.cn,0,0.00%,158,158,0.00%
win8.ipv6.microsoft.com,0,0.00%,344,344,0.00%
connc.gj.qq.com,0,0.00%,124,124,0.00%
docs.qq.com,0,0.00%,112,112,0.00%
extshort.weixin.qq.com,0,0.00%,222,222,0.00%
pubsub02.oray.net,0,0.00%,264,264,0.00%
hkb.cloudnnnn.com,0,0.00%,240,240,0.00%
api.wandb.ai,0,0.00%,485,485,0.00%
note.youdao.com,0,0.00%,465,465,0.00%
www.sangfor.com,0,0.00%,183,183,0.00%
slapi.oray.net,0,0.00%,382,382,0.00%
weibo.com,0,0.00%,106,106,0.00%
www.m9ynqi6d.com,0,0.00%,100,100,0.00%
router3.teamviewer.com,0,0.00%,108,108,0.00%
nj.t.bcsp2p.baidu.com,0,0.00%,105,105,0.00%
dd.browser.360.cn,0,0.00%,109,109,0.00%
a.sox.si,0,0.00%,191,191,0.00%
whsmarthome.hwcloudtest.cn,0,0.00%,232,232,0.00%
router14.teamviewer.com,0,0.00%,124,124,0.00%
home.hicloud.com,0,0.00%,190,190,0.00%
router15.teamviewer.com,0,0.00%,115,115,0.00%
report.url.cn,0,0.00%,131,131,0.00%
docs.nicehash.com,0,0.00%,160,160,0.00%
ca.minexmr.com,0,0.00%,145,145,0.00%
pool.hashvault.pro,0,0.00%,156,156,0.00%
turtlecoin.herominers.com,0,0.00%,158,158,0.00%
ar.hpool.com,0,0.00%,141,141,0.00%
us1.ethpool.org,0,0.00%,122,122,0.00%
www.fullskystar.top,0,0.00%,156,156,0.00%
ckb.antpool.com,0,0.00%,151,151,0.00%
du.testjj.com,0,0.00%,136,136,0.00%
btm.f2pool.com,0,0.00%,160,160,0.00%
jp.sparkpool.com,0,0.00%,162,162,0.00%
api.nicehash.com,0,0.00%,156,156,0.00%
rx.thegov.win,0,0.00%,142,142,0.00%
mail.nicehash.com,0,0.00%,136,136,0.00%
pool.supportxmr.com,0,0.00%,162,162,0.00%
etc.f2pool.com,0,0.00%,146,146,0.00%
pool.flooder.org,0,0.00%,138,138,0.00%
eth.ss.poolin.com,0,0.00%,126,126,0.00%
asia1.ethpool.org,0,0.00%,156,156,0.00%
eth.antpool.com,0,0.00%,144,144,0.00%
miner.nicehash.com,0,0.00%,140,140,0.00%
monerohash.com,0,0.00%,132,132,0.00%
blog.nicehash.com,0,0.00%,160,160,0.00%
www.jvmonline.com,0,0.00%,154,154,0.00%
smtp.nicehash.com,0,0.00%,158,158,0.00%
penef6f8f734.slushpool.com,0,0.00%,152,152,0.00%
dcr.uupool.cn,0,0.00%,156,156,0.00%
eth.uupool.cn,0,0.00%,158,158,0.00%
git.rancher.io,0,0.00%,313,313,0.00%
events.gfe.nvidia.com,0,0.00%,505,505,0.00%
api.mymonero.com,0,0.00%,146,146,0.00%
toa.mygametoa.com,0,0.00%,123,123,0.00%
donate.v2.xmrig.com,0,0.00%,140,140,0.00%
fr.minexmr.com,0,0.00%,160,160,0.00%
ns41.hashvault.pro,0,0.00%,129,129,0.00%
nhmws.nicehash.com,0,0.00%,149,149,0.00%
zec.uupool.cn,0,0.00%,149,149,0.00%
sea.wafflepool.com,0,0.00%,120,120,0.00%
de.minexmr.com,0,0.00%,160,160,0.00%
kmd.antpool.com,0,0.00%,145,145,0.00%
pool-fr.supportxmr.com,0,0.00%,154,154,0.00%
k8s.entrypoint.ops.sparkpool.com,0,0.00%,152,152,0.00%
sg.minexmr.com,0,0.00%,156,156,0.00%
verushash.mine.zergpool.com,0,0.00%,129,129,0.00%
sbtc.uupool.cn,0,0.00%,128,128,0.00%
pool.minexmr.com,0,0.00%,158,158,0.00%
donate.ssl.xmrig.com,0,0.00%,150,150,0.00%
