nxdomain,num
200.81.10.10.in-addr.arpa,6
188.81.10.10.in-addr.arpa,6
215.81.10.10.in-addr.arpa,6
237.81.10.10.in-addr.arpa,6
tips.logger.baofeng.com,6
18.81.10.10.in-addr.arpa,5
21.81.10.10.in-addr.arpa,5
21.100.168.192.in-addr.arpa,5
23.81.10.10.in-addr.arpa,5
211.80.10.10.in-addr.arpa,5
32.81.10.10.in-addr.arpa,5
clt2.sangfor.com.cn,5
hostmaster.nominet.org.uk,5
host-4-176-232-45.dinamic.mifibra.cl.localdomain,5
host-4-176-232-45.dinamic.mifibra.cl,5
localhost,5
1.0.0.10.in-addr.arpa,5
ncpdrs.mars.baofeng.net,5
194.80.10.10.in-addr.arpa,5
wpad.mshome.net,5
discovery-v6-3.syncthing.net,5
discovery-v6-2.syncthing.net,5
44.81.10.10.in-addr.arpa,5
57.81.10.10.in-addr.arpa,5
6.81.10.10.in-addr.arpa,5
54.81.10.10.in-addr.arpa,5
103.1.168.192.in-addr.arpa,5
_kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.nfs.iscas.ac.cn,5
_kerberos._tcp.dc._msdcs.nfs.iscas.ac.cn,5
appcloud2.in.zhihu.com,5
upd2.sangfor.com.cn.localdomain,5
lb._dns-sd._udp.0.137.168.192.in-addr.arpa,5
b._dns-sd._udp.0.137.168.192.in-addr.arpa,5
db._dns-sd._udp.0.137.168.192.in-addr.arpa,5
127.81.10.10.in-addr.arpa,5
158.81.10.10.in-addr.arpa,5
175.81.10.10.in-addr.arpa,5
183.81.10.10.in-addr.arpa,5
184.81.10.10.in-addr.arpa,5
d.x.baidu.com,5
213.81.10.10.in-addr.arpa,5
217.81.10.10.in-addr.arpa,5
227.81.10.10.in-addr.arpa,5
221.81.10.10.in-addr.arpa,5
107.98.43.121.in-addr.arpa,5
lb._dns-sd._udp.0.81.16.172.in-addr.arpa,4
238.81.10.10.in-addr.arpa,4
243.81.10.10.in-addr.arpa,4
27.80.10.10.in-addr.arpa,4
DESKTOP-FOLAFSC,4
129.139.16.124.in-addr.arpa,4
Pantum-003BFA.lan,4
b4bf120.pe.gladns.com,4
17.66.10.10.in-addr.arpa,4
obs.qaqgame.com,4
tracker.fastdownload.xyz,4
149.1.168.192.in-addr.arpa,4
dr-ime.baidu.com,4
246.66.10.10.in-addr.arpa,4
sp1.sangfor.com.cn,4
b._dns-sd._udp.0.216.16.172.in-addr.arpa,4
tcalab.114.114.114.114,4
tcalab,4
ecosystem.home.cisco.com,4
wq.cloud.duba.net,4
proxy.example.com,4
wpad.nfs.iscas.ac.cn,4
manual,4
1.81.10.10.in-addr.arpa,4
31.81.10.10.in-addr.arpa,4
102.81.10.10.in-addr.arpa,4
109.81.10.10.in-addr.arpa,4
93069ba5.verify.hn,4
p210-acsegateway.icloud.com.cn,4
lb._dns-sd._udp.0.0.18.198.in-addr.arpa,4
bam.nr-data.net.flash,4
grafana.com.flash,4
zh.us.to,4
p218-acsegateway.icloud.com.cn,4
lb._dns-sd._udp.125.108.227.10.in-addr.arpa,4
wap.mpush.qq.com,4
nfs-E500,4
100.0.168.192.in-addr.arpa,4
hotnews.duba.com,4
