124.16.140.20,"{1: 114292, 65: 21068, 28: 4832, 12: 1498, 33: 8, 0: 17, 35: 3, 16: 1, 255: 4, 64: 13, 6: 1}"
159.226.5.146,"{1: 116462, 28: 12837, 12: 3354, 0: 122, 16: 186, 15: 51, 6: 24, 65: 464, 255: 3, 10: 40, 33: 16, 35: 1}"
124.16.140.34,"{1: 114401, 12: 401, 28: 5723, 65: 7629, 33: 9, 0: 4, 16: 13}"
159.226.95.68,"{1: 104500, 28: 13397, 12: 223, 65: 625, 35: 25, 33: 26, 0: 2, 16: 5}"
124.16.140.6,"{1: 102303, 28: 7771, 65: 7484, 33: 106, 16: 47, 12: 247, 35: 10, 6: 6}"
159.226.95.38,"{1: 91407, 28: 18607, 65: 1776, 0: 32, 12: 308, 33: 7, 6: 4, 255: 1}"
124.16.140.36,"{28: 25785, 1: 80502, 65: 4823, 2: 1, 33: 83, 12: 342, 64: 20}"
159.226.5.2,"{1: 64412, 28: 44301, 65: 2461, 12: 241, 16: 20, 0: 2, 33: 28, 6: 8, 35: 2}"
159.226.5.173,"{1: 83880, 28: 13511, 65: 3758, 12: 100, 33: 29, 6: 28, 16: 28, 35: 1}"
124.16.141.241,"{1: 76512, 28: 17609, 65: 5729, 12: 62, 33: 30, 16: 1, 35: 6, 0: 3, 6: 2}"
124.16.139.178,"{1: 97706, 28: 968, 6: 414, 33: 24, 12: 620}"
124.16.139.246,"{28: 9603, 1: 85359, 65: 1974, 12: 193, 16: 417, 43: 2, 6: 10, 33: 18, 0: 5, 5: 295}"
159.226.95.37,"{1: 69580, 28: 20902, 65: 4222, 12: 244, 6: 6, 16: 10, 0: 5, 33: 1}"
159.226.95.47,"{1: 51586, 28: 38420, 65: 4759, 12: 110, 33: 23, 16: 9}"
124.16.141.245,"{1: 12892, 28: 10084, 12: 139, 33: 44, 5: 68380, 0: 4, 10: 1}"
124.16.139.245,"{1: 68536, 28: 16216, 12: 487, 65: 2001, 16: 21, 6: 35, 33: 32, 35: 1, 0: 1}"
159.226.95.65,"{1: 66576, 28: 11542, 12: 6894, 65: 1723, 6: 47, 33: 77, 16: 20, 2: 1}"
159.226.5.33,"{1: 71058, 28: 2496, 65: 3868, 12: 98, 16: 21, 33: 7, 35: 2, 6: 4}"
124.16.137.12,"{28: 7760, 1: 63464, 12: 2461, 65: 179, 33: 8, 16: 6, 15: 2}"
124.16.137.123,"{1: 65773, 65: 4812, 28: 594, 12: 726, 35: 12, 33: 12, 255: 1}"
159.226.95.41,"{1: 34800, 28: 33158, 12: 12, 16: 14, 33: 15, 13: 2}"
124.16.140.40,"{1: 59039, 28: 6855, 0: 1, 65: 131, 12: 32}"
124.16.137.11,"{1: 39701, 28: 23362, 33: 52, 12: 68, 65: 612, 0: 3, 6: 1}"
124.16.141.246,"{1: 5390, 28: 419, 12: 57055}"
159.226.95.48,"{1: 33370, 28: 20952, 65: 1193, 12: 135, 16: 12, 35: 1, 33: 39}"
10.10.112.1,"{1: 29453, 28: 23526}"
124.16.139.126,"{28: 4388, 1: 42573, 65: 4866, 12: 391, 6: 34, 16: 12, 0: 2, 35: 1, 33: 4}"
10.10.102.185,"{1: 34692, 28: 16037}"
124.16.138.131,"{1: 48539, 28: 223, 12: 1, 16: 377}"
124.16.141.242,"{1: 32505, 28: 12534, 65: 2805, 12: 87, 6: 4, 33: 9, 0: 1}"
124.16.141.247,"{1: 45745, 12: 70, 28: 983, 33: 14, 64: 43, 65: 289, 0: 3, 10: 1}"
124.16.141.248,"{1: 37796, 28: 7375, 12: 194, 65: 304, 33: 19, 0: 1, 64: 1}"
