domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
www.taobao.com,8,0.28%,17,9,47.06%
www.google.com.hk,8,0.28%,18,10,44.44%
1.centos.pool.ntp.org,8,0.28%,8,0,100.00%
2.centos.pool.ntp.org,8,0.28%,8,0,100.00%
vconf.f.360.cn,8,0.28%,15,7,53.33%
mask-api.icloud.com,8,0.28%,9,1,88.89%
dss0.bdstatic.com,7,0.24%,16,9,43.75%
www.apple.com,7,0.24%,14,7,50.00%
www.cntv.cn,7,0.24%,16,9,43.75%
ts2.cn.mm.bing.net,7,0.24%,16,9,43.75%
wxapp.tc.qq.com,7,0.24%,15,8,46.67%
h.trace.qq.com,7,0.24%,16,9,43.75%
mainnet.infura.io,7,0.24%,17,10,41.18%
mcs-bd.feishu.cn,7,0.24%,12,5,58.33%
pool.ntp.org,6,0.21%,9,3,66.67%
ts1.cn.mm.bing.net,6,0.21%,17,11,35.29%
gateway.fe.apple-dns.net,6,0.21%,19,13,31.58%
cache.tv.qq.com,6,0.21%,13,7,46.15%
agt.p.qianxin.com,6,0.21%,6,0,100.00%
3.centos.pool.ntp.org,6,0.21%,6,0,100.00%
repo.huaweicloud.com,6,0.21%,12,6,50.00%
liveupdate2.drivergenius.com,6,0.21%,12,6,50.00%
bifrost-v4.getpostman.com,6,0.21%,12,6,50.00%
pss.bdstatic.com,5,0.17%,13,8,38.46%
emoji.qpic.cn,5,0.17%,11,6,45.45%
treatment.grammarly.com,5,0.17%,9,4,55.56%
dtl.update.updrv.com,5,0.17%,12,7,41.67%
broadcast.chat.bilibili.com,5,0.17%,10,5,50.00%
down3.huorong.cn,5,0.17%,10,5,50.00%
upos-sz-mirrorcos.bilivideo.com,5,0.17%,9,4,55.56%
dtapp-pub.dingtalk.com,5,0.17%,10,5,50.00%
translate.google.cn,5,0.17%,9,4,55.56%
ss1.baidu.com,5,0.17%,12,7,41.67%
update.todesk.com,5,0.17%,12,7,41.67%
content-signature-2.cdn.mozilla.net,5,0.17%,10,5,50.00%
ipv6.l.google.com,5,0.17%,5,0,100.00%
www.bytedance.com,5,0.17%,10,5,50.00%
dcldshlupt.alicdn.com,5,0.17%,10,5,50.00%
0.openwrt.pool.ntp.org,5,0.17%,5,0,100.00%
webrd01.is.autonavi.com,5,0.17%,10,5,50.00%
webrd04.is.autonavi.com,5,0.17%,10,5,50.00%
webrd02.is.autonavi.com,5,0.17%,10,5,50.00%
events.launchdarkly.com,5,0.17%,10,5,50.00%
cv.duba.net,4,0.14%,9,5,44.44%
2.android.pool.ntp.org,4,0.14%,10,6,40.00%
registry.npm.taobao.org,4,0.14%,4,0,100.00%
gateway.icloud.com,4,0.14%,8,4,50.00%
mesu.apple.com,4,0.14%,12,8,33.33%
qurl.f.360.cn,4,0.14%,9,5,44.44%
honeycomb.wpscdn.cn,4,0.14%,9,5,44.44%
ini.update.360safe.com,4,0.14%,8,4,50.00%
cdn-file.ludashi.com,4,0.14%,8,4,50.00%
smartdl.lenovo.com.cn,4,0.14%,8,4,50.00%
ocsp.sca1b.amazontrust.com,4,0.14%,8,4,50.00%
internal-api-lark-api.feishu.cn,4,0.14%,9,5,44.44%
api.docer.wpscdn.cn,4,0.14%,8,4,50.00%
software-down.keniu.com,4,0.14%,9,5,44.44%
config.i.duba.net,4,0.14%,6,2,66.67%
webrd03.is.autonavi.com,4,0.14%,8,4,50.00%
registry.npmmirror.com,3,0.10%,3,0,100.00%
s1.hdslb.com,3,0.10%,6,3,50.00%
i2.hdslb.com,3,0.10%,7,4,42.86%
dss1.bdstatic.com,3,0.10%,11,8,27.27%
b.bdstatic.com,3,0.10%,9,6,33.33%
www.zhihu.com,3,0.10%,7,4,42.86%
cdn.jsdelivr.net,3,0.10%,6,3,50.00%
static.hdslb.com,3,0.10%,6,3,50.00%
go.microsoft.com,3,0.10%,8,5,37.50%
kv501.prod.do.dsp.mp.microsoft.com,3,0.10%,6,3,50.00%
dataflow.biliapi.com,3,0.10%,7,4,42.86%
service.fanxing.kugou.com,3,0.10%,7,4,42.86%
bjacshow.kugou.com,3,0.10%,7,4,42.86%
pagead2.googlesyndication.com,3,0.10%,6,3,50.00%
r4.res.office365.com,3,0.10%,7,4,42.86%
notifier-configs.airbrake.io,3,0.10%,6,3,50.00%
fc-ccimage.baidu.com,3,0.10%,9,6,33.33%
t8.baidu.com,3,0.10%,10,7,30.00%
dss2.bdstatic.com,3,0.10%,7,4,42.86%
imap.gmail.com,3,0.10%,7,4,42.86%
img.alicdn.com,3,0.10%,7,4,42.86%
play.google.com,3,0.10%,7,4,42.86%
0.centos.pool.ntp.org,3,0.10%,3,0,100.00%
d2nxq2uap88usk.cloudfront.net,3,0.10%,5,2,60.00%
accounts.google.com,3,0.10%,6,3,50.00%
i.glzip.com,3,0.10%,3,0,100.00%
redirector.gvt1.com,3,0.10%,6,3,50.00%
beacons.gcp.gvt2.com,3,0.10%,6,3,50.00%
ioshost.qtlcdn.com,3,0.10%,6,3,50.00%
gw.alipayobjects.com,3,0.10%,5,2,60.00%
t7.baidu.com,3,0.10%,6,3,50.00%
profile-avatar.csdnimg.cn,3,0.10%,5,2,60.00%
tnc3-bjlgy.zijieapi.com,3,0.10%,6,3,50.00%
filedownload.lenovo.com,3,0.10%,5,2,60.00%
download.windowsupdate.com,3,0.10%,6,3,50.00%
gateway.icloud.com.cn,3,0.10%,4,1,75.00%
upos-sz-staticcos-cmask.bilivideo.com,3,0.10%,6,3,50.00%
