Zone,"Zone UTF8",Delegated,"Registry Name","Registry Alias","Registry Info URL","Registry URL","Backend Name","Backend Alias","Backend Info URL","Backend URL","Whois Hostname","Whois Charset","Whois IPv6","Whois Options","Trademark Open","Trademark Close"
pars,pars,1,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,http://ntldstats.com/registry/Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,,"CoCCA Registry Services (NZ) Limited",CoCCA-Registry-Services-NZ-Limited,http://ntldstats.com/backend/CoCCA-Registry-Services-NZ-Limited,https://cocca.org.nz/,whois.nic.pars,utf8,1,,,
nowruz,nowruz,1,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,http://ntldstats.com/registry/Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,,"CoCCA Registry Services (NZ) Limited",CoCCA-Registry-Services-NZ-Limited,http://ntldstats.com/backend/CoCCA-Registry-Services-NZ-Limited,https://cocca.org.nz/,whois.nic.nowruz,utf8,1,,2018-03-27,2018-06-25
reit,reit,1,"National Association of Real Estate Investment Trusts, Inc.",National-Association-of-Real-Estate-Investment-Trusts-Inc,http://ntldstats.com/registry/National-Association-of-Real-Estate-Investment-Trusts-Inc,https://www.reit.com/,CentralNic,CentralNic,http://ntldstats.com/backend/CentralNic,https://www.centralnicgroup.com/,whois.centralnic.com,utf8,0,,,
osaka,osaka,1,"Osaka Registry Co., Ltd.",Osaka-Registry-Co-Ltd,http://ntldstats.com/registry/Osaka-Registry-Co-Ltd,,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.osaka,utf8,1,,2015-04-01,2015-06-30
shia,shia,1,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,http://ntldstats.com/registry/Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,,"CoCCA Registry Services (NZ) Limited",CoCCA-Registry-Services-NZ-Limited,http://ntldstats.com/backend/CoCCA-Registry-Services-NZ-Limited,https://cocca.org.nz/,whois.nic.shia,utf8,0,,,
ski,ski,1,"Afilias Ltd.",Afilias-Limited,http://ntldstats.com/registry/Afilias-Limited,https://identity.digital/,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.afilias.net,utf8,1,,2015-09-08,2015-12-07
energy,energy,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-02-02,2015-05-05
tci,tci,1,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,http://ntldstats.com/registry/Asia-Green-IT-System-Bilgisayar-San-ve-Tic-Ltd-Sti,,"CoCCA Registry Services (NZ) Limited",CoCCA-Registry-Services-NZ-Limited,http://ntldstats.com/backend/CoCCA-Registry-Services-NZ-Limited,https://cocca.org.nz/,whois.nic.tci,utf8,1,,,
party,party,1,"Global Registry Services Limited",Global-Registry-Services-Limited,http://ntldstats.com/registry/Global-Registry-Services-Limited,https://grs.domains/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.party,utf8,1,,,
canon,canon,1,"Canon Inc.",Canon-Inc,http://ntldstats.com/registry/Canon-Inc,,"GMO Registry, Inc.",GMO-Registry-Inc,http://ntldstats.com/backend/GMO-Registry-Inc,https://www.gmoregistry.com/,whois.nic.canon,utf8,1,,,
