domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
pagead2.googlesyndication.com,50,0.09%,57,7,87.72%
1-courier.push.apple.com,50,0.09%,50,0,100.00%
vipapi.wps.cn,50,0.09%,50,0,100.00%
tuna05.mcddns01.com,50,0.09%,50,0,100.00%
global.asimov.events.data.trafficmanager.net,50,0.09%,50,0,100.00%
info.pinyin.sogou.com,49,0.09%,92,43,53.26%
femetrics.grammarly.io,49,0.09%,49,0,100.00%
qingcenter.wps.cn,49,0.09%,95,46,51.58%
cn.bing.com,49,0.09%,55,6,89.09%
router4.teamviewer.com,49,0.09%,49,0,100.00%
hk.tcpbbr.net,48,0.08%,95,47,50.53%
hk4.v2u9.top,48,0.08%,48,0,100.00%
hk1-7.nigirocloud.com,48,0.08%,48,0,100.00%
switch.pcfg.cache.wpscdn.cn,47,0.08%,108,61,43.52%
us1-2.nigirocloud.com,47,0.08%,47,0,100.00%
update.wps.cn,46,0.08%,46,0,100.00%
tracker2.itzmx.com,46,0.08%,46,0,100.00%
us-sandbox-courier-4.push-apple.com.akadns.net,45,0.08%,45,0,100.00%
agt.p.qianxin.com,45,0.08%,45,0,100.00%
chpm.sangfor.com.cn,45,0.08%,45,0,100.00%
tr.abirxo.cf,45,0.08%,69,24,65.22%
dd.browser.360.cn,44,0.08%,44,0,100.00%
assets.msn.cn,44,0.08%,44,0,100.00%
visualstudio-devdiv-c2s.msedge.net,44,0.08%,44,0,100.00%
imap.gmail.com,43,0.08%,59,16,72.88%
drive.wpsdns.com,42,0.07%,78,36,53.85%
db-safe.2345.cc,42,0.07%,42,0,100.00%
tracker4.itzmx.com,41,0.07%,82,41,50.00%
gitee.com,40,0.07%,40,0,100.00%
api.apple-cloudkit.fe.apple-dns.net,40,0.07%,40,0,100.00%
www.a.shifen.com,40,0.07%,79,39,50.63%
dc1.ksn.kaspersky-labs.com,40,0.07%,40,0,100.00%
mobile.events.data.trafficmanager.net,40,0.07%,45,5,88.89%
router11.teamviewer.com,40,0.07%,44,4,90.91%
checkappexec.microsoft.com,39,0.07%,39,0,100.00%
dw-online.ksosoft.com,39,0.07%,39,0,100.00%
vscode-sync.trafficmanager.net,39,0.07%,39,0,100.00%
alive.github.com,39,0.07%,39,0,100.00%
pay.wps.cn,38,0.07%,38,0,100.00%
d9caa6e02c990b0a.jijifun.com,38,0.07%,38,0,100.00%
apple.com,37,0.06%,37,0,100.00%
monorepo-production-edge-alb-985829473.us-east-1.elb.amazonaws.com,37,0.06%,37,0,100.00%
mini.browser.360.cn,37,0.06%,37,0,100.00%
2.openwrt.pool.ntp.org,37,0.06%,38,1,97.37%
console.cloud.google.com,37,0.06%,37,0,100.00%
share.camoe.cn,36,0.06%,36,0,100.00%
wu-bg-shim.trafficmanager.net,36,0.06%,36,0,100.00%
router13.teamviewer.com,36,0.06%,37,1,97.30%
socm.dmp.360.cn,35,0.06%,35,0,100.00%
rs1.qq.com,35,0.06%,35,0,100.00%
api.zotero.org,35,0.06%,35,0,100.00%
tracker.ccp.ovh,35,0.06%,35,0,100.00%
api2.firefoxchina.cn.wswebpic.com,35,0.06%,35,0,100.00%
init.push.apple.com,35,0.06%,60,25,58.33%
cdn.fwupd.org,35,0.06%,35,0,100.00%
www.mvgroup.org,34,0.06%,34,0,100.00%
opencdnmsdl1.jomodns.com,34,0.06%,34,0,100.00%
hub5pnc.sandai.net,34,0.06%,34,0,100.00%
nowpick.nowcoder.com,34,0.06%,34,0,100.00%
1min.pcfg.cache.wpscdn.cn,33,0.06%,33,0,100.00%
fanghu.qianxin.com,33,0.06%,33,0,100.00%
az764295.vo.msecnd.net,33,0.06%,33,0,100.00%
router6.teamviewer.com,33,0.06%,34,1,97.06%
gtm-sg-6wr2n62gk0f.gtm-i1d1.com,32,0.06%,32,0,100.00%
tlu.dl.delivery.mp.microsoft.com.w.alikunlun.com,32,0.06%,32,0,100.00%
