domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
github.com,0,0.00%,189,189,0.00%
ns-cloud-d3.googledomains.com,0,0.00%,372,372,0.00%
ns-cloud-b4.googledomains.com,0,0.00%,344,344,0.00%
ns73.domaincontrol.com,0,0.00%,208,208,0.00%
ns04.domaincontrol.com,0,0.00%,208,208,0.00%
ns47.domaincontrol.com,0,0.00%,216,216,0.00%
ns74.domaincontrol.com,0,0.00%,212,212,0.00%
ns-cloud-b3.googledomains.com,0,0.00%,350,350,0.00%
ns48.domaincontrol.com,0,0.00%,206,206,0.00%
salvador.porkbun.com,0,0.00%,114,114,0.00%
ns35.domaincontrol.com,0,0.00%,373,373,0.00%
ns1.parkingcrew.net,0,0.00%,346,346,0.00%
ns07.domaincontrol.com,0,0.00%,216,216,0.00%
ns-cloud-d2.googledomains.com,0,0.00%,364,364,0.00%
ns1.dynadot.com,0,0.00%,168,168,0.00%
ns2.parkingcrew.net,0,0.00%,338,338,0.00%
ns36.domaincontrol.com,0,0.00%,376,376,0.00%
curitiba.porkbun.com,0,0.00%,118,118,0.00%
ns08.domaincontrol.com,0,0.00%,226,226,0.00%
dns2.namecheaphosting.com,0,0.00%,288,288,0.00%
ns-cloud-d4.googledomains.com,0,0.00%,366,366,0.00%
a.gtld-servers.net,0,0.00%,4572,4572,0.00%
ns2.dynadot.com,0,0.00%,172,172,0.00%
dns1.registrar-servers.com,0,0.00%,2274,2274,0.00%
ns2.dns-parking.com,0,0.00%,562,562,0.00%
ns2.crazydomains.com,0,0.00%,132,132,0.00%
ns23.domaincontrol.com,0,0.00%,164,164,0.00%
ns2.openprovider.be,0,0.00%,100,100,0.00%
ns1.dns-parking.com,0,0.00%,560,560,0.00%
ns-cloud-b1.googledomains.com,0,0.00%,346,346,0.00%
ns54.domaincontrol.com,0,0.00%,128,128,0.00%
ns14.domaincontrol.com,0,0.00%,230,230,0.00%
ns3.openprovider.eu,0,0.00%,100,100,0.00%
